Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,4,40,-2.7
Query 2,0,0,0
Query 3,2,20,-4.0
Query 4,4,40,-4.1
Query 5,1,10,0
Query 6,0,0,0
Query 7,3,30,-15.25
Query 8,2,20,1.0
Query 9,1,10,0
Query 10,0,0,0
Query 11,3,30,-2.25
Query 12,1,10,0
Query 13,1,10,0
Query 14,1,10,0
Query 15,2,20,-1.0
Query 16,0,0,0
Query 17,1,10,1
Query 18,0,0,0
Query 19,2,20,-24.0
Query 20,4,40,-7.4
Query 21,1,10,0
Query 22,0,0,0
Query 23,0,0,0
Query 24,2,20,-16.0
Query 25,3,30,-1.25
Query 26,4,40,-0.7
Query 27,0,0,0
Query 28,1,10,0
Query 29,2,20,-4.0
Query 30,0,0,0
Query 31,1,10,0
Query 32,0,0,0
Query 33,3,30,-1.0
Query 34,0,0,0
Query 35,1,10,1
Query 36,1,10,0
Query 37,1,10,0
Query 38,4,40,-12.6
Query 39,4,40,-0.7
Query 40,1,10,1
Query 41,5,50,-4.6
Query 42,2,20,-36.0
Query 43,4,40,-6.8
Query 44,3,30,-19.25
Query 45,0,0,0
Query 46,2,20,-3.0
Query 47,2,20,-8.0
Query 48,2,20,-4.0
Query 49,1,10,0
Query 50,5,50,-4.1
Query 51,3,30,0.5
Query 52,3,30,-1.5
Query 53,0,0,0
Query 54,1,10,1
Query 55,0,0,0
Query 56,2,20,-57.0
Query 57,1,10,0
Query 58,0,0,0
Query 59,0,0,0
Query 60,2,20,-49.0
Query 61,1,10,0
Query 62,1,10,0
Query 63,4,40,-3.5999999999999996
Query 64,2,20,1.0
Query 65,0,0,0
Query 66,3,30,-0.5
Query 67,2,20,-15.0
Query 68,1,10,0
Query 69,0,0,0
Query 70,3,30,-3.0
Query 71,1,10,0
Query 72,4,40,0.7
Query 73,1,10,0
Query 74,0,0,0
Query 75,5,50,0.75
Query 76,0,0,0
Query 77,3,30,0.5
Query 78,2,20,-52.0
Query 79,4,40,-0.30000000000000004
Query 80,2,20,-9.0
Query 81,1,10,1
Query 82,0,0,0
Query 83,2,20,-4.0
Query 84,0,0,0
Query 85,1,10,0
Query 86,0,0,0
Query 87,3,30,-2.5
Query 88,1,10,1
Query 89,3,30,-1.0
Query 90,2,20,-4.0
Query 91,0,0,0
Query 92,1,10,0
Query 93,0,0,0
Query 94,3,30,0.75
Query 95,2,20,-1.0
Query 96,0,0,0
Query 97,1,10,0
Query 98,0,0,0
Query 99,3,30,-7.5
Query 100,0,0,0
Averages,1.61,16.1,-3.8240000000000003
